redshift        eff
0.0482192        0.667397        
0.0624500        0.682405        
0.0744237        0.689064        
0.0811680        0.698239        
0.0871605        0.704910        
0.0946455        0.709907        
0.106626        0.720742        
0.119355        0.731576        
0.128343        0.741582        
0.137329        0.749918        
0.147064        0.759087        
0.155308        0.770765        
0.171786        0.788275        
0.178529        0.796615        
0.188261        0.804113        
0.195756        0.814958        
0.204738        0.820787        
0.212232        0.831632        
0.221220        0.840803        
0.227964        0.849978        
0.231709        0.854148        
0.236204        0.859151        
0.237702        0.860818        
0.241450        0.866659        
0.246696        0.874166        
0.256416        0.874146        
0.265383        0.871621        
0.279580        0.866579        
0.288551        0.865725        
0.299766        0.865701        
0.309477        0.860669        
0.324426        0.858131        
0.340121        0.854757        
0.355070        0.852219        
0.367765        0.843003        
0.382702        0.832947        
0.390173        0.829590        
0.404367        0.822877        
0.418560        0.815328        
0.426772        0.807792        
0.435734        0.801926        
0.449186        0.798556        
0.457395        0.789349        
0.467846        0.779302        
0.479048        0.771760        
0.486515        0.765897        
0.497717        0.758355        
0.511154        0.745795        
0.524588        0.731565        
0.541014        0.718164        
0.547735        0.713138        
0.561949        0.718120        
0.573181        0.728122        
0.582161        0.733116        
0.594135        0.739774        
0.606113        0.748939        
0.615848        0.758108        
0.631560        0.764758        
0.639798        0.773095        
0.650274        0.778086        
0.670458        0.776373        
0.687644        0.770489        
0.700349        0.767121        
0.717535        0.761237        
0.735471        0.756187        
0.745931        0.751988        
0.755656        0.755310        
0.768380        0.763637        
0.778112        0.771136        
0.792325        0.775283        
0.803552        0.782778        
0.814774        0.786932        
0.823756        0.792761        
0.837227        0.800252        
0.845459        0.805247        
0.857426        0.807728        
0.864893        0.801865        
0.880574        0.790136        
0.894031        0.789273        
0.911218        0.784224        
0.934376        0.772480        
0.954546        0.762413        
0.975466        0.753180        
0.993395        0.744788        
1.00982        0.733058        
1.02775        0.722995        
1.04718        0.716272        
1.05914        0.715411        
1.07933        0.719546        
1.09654        0.723687        
1.11374        0.726158        
1.12646        0.731979        
1.13618        0.735300        
1.15189        0.738609        
