redshift        fom
0.0506011        0.167853        
0.0631744        0.176826        
0.0707180        0.182061        
0.0765845        0.185798        
0.0832912        0.191034        
0.0941891        0.199261        
0.109278        0.210479        
0.123523        0.218700        
0.136932        0.226922        
0.148671        0.237397        
0.155382        0.244132        
0.160420        0.251621        
0.167974        0.261353        
0.174692        0.271088        
0.183914        0.278568        
0.194829        0.294293        
0.202389        0.306275        
0.210776        0.314507        
0.221683        0.326482        
0.232588        0.337709        
0.240993        0.353438        
0.250220        0.363168        
0.258618        0.375898        
0.266185        0.390879        
0.277930        0.403603        
0.288019        0.423828        
0.298940        0.441802        
0.304820        0.451538        
0.315734        0.466512        
0.325812        0.482239        
0.336726        0.497213        
0.343447        0.508447        
0.349334        0.521182        
0.356020        0.517421        
0.370219        0.506148        
0.376891        0.496388        
0.393593        0.481362        
0.402768        0.468599        
0.414466        0.461079        
0.421144        0.454319        
0.429495        0.446805        
0.437841        0.437043        
0.443681        0.429534        
0.452033        0.422771        
0.458735        0.425757        
0.467952        0.430988        
0.483032        0.438457        
0.504814        0.448913        
0.512350        0.451149        
0.520726        0.454132        
0.527429        0.457868        
0.537474        0.459349        
0.548376        0.469075        
0.560112        0.478051        
0.571020        0.490776        
0.578575        0.500509        
0.589479        0.511735        
0.601228        0.525959        
0.607945        0.535693        
0.621364        0.548414        
0.628076        0.555899        
0.634799        0.567883        
0.639834        0.573871        
0.648219        0.581353        
0.651582        0.588095        
0.661608        0.581328        
0.674962        0.566308        
0.686652        0.555039        
0.697504        0.543773        
0.712535        0.530249        
0.729240        0.516721        
0.745108        0.503196        
0.750950        0.496437        
0.764358        0.504659        
0.777765        0.512132        
0.795368        0.524845        
0.810450        0.533064        
0.823018        0.539788        
0.837263        0.548009        
0.843135        0.553996        
0.851517        0.559979        
0.863223        0.556208        
0.878284        0.555430        
0.895012        0.551650        
0.916767        0.550859        
0.934334        0.547827        
0.946882        0.546304        
0.964443        0.541023        
0.974467        0.533506        
0.996207        0.525968        
1.00958        0.519195        
1.02379        0.513920        
1.03968        0.506393        
1.05305        0.501869        
1.07396        0.497331        
1.09320        0.492047        
1.11328        0.490510        
1.12749        0.482985        
1.14338        0.480706        
1.14673        0.481450        
