redshift        pur
0.0495882        0.501022        
0.0571091        0.509508        
0.0721601        0.518948        
0.0838604        0.531208        
0.0955630        0.541584        
0.111449        0.552908        
0.123989        0.562344        
0.151581        0.581220        
0.164950        0.597248        
0.175812        0.610448        
0.185845        0.617997        
0.193367        0.625542        
0.200052        0.633085        
0.213425        0.646289        
0.223449        0.660429        
0.233477        0.671744        
0.244345        0.680236        
0.254369        0.694376        
0.259383        0.700034        
0.267735        0.713229        
0.276922        0.728310        
0.296969        0.757532        
0.311167        0.780153        
0.322861        0.797121        
0.334560        0.810322        
0.342911        0.824459        
0.349599        0.830119        
0.362161        0.821664        
0.381421        0.811337        
0.400680        0.801951        
0.418266        0.791620        
0.438361        0.782236        
0.448407        0.778485        
0.457608        0.782266        
0.466802        0.790755        
0.482689        0.801138        
0.497739        0.811519        
0.511110        0.825665        
0.532846        0.843590        
0.545386        0.853026        
0.553749        0.857747        
0.566293        0.864358        
0.574656        0.868137        
0.588036        0.875691        
0.600580        0.882303        
0.619815        0.891749        
0.627341        0.896469        
0.637379        0.899309        
0.649921        0.907804        
0.655784        0.903105        
0.664158        0.898410        
0.674207        0.892776        
0.686767        0.887146        
0.695139        0.883393        
0.701839        0.879637        
0.712725        0.873062        
0.730307        0.866498        
0.741192        0.860866        
0.749563        0.858996        
0.754585        0.858062        
0.763792        0.856193        
0.770482        0.859970        
0.781360        0.860929        
0.794744        0.864716        
0.804786        0.864732        
0.821521        0.865700        
0.835742        0.869489        
0.856658        0.873288        
0.873390        0.877081        
0.899329        0.879005        
0.915225        0.881855        
0.930284        0.884703        
0.948693        0.885674        
0.977146        0.884777        
1.00058        0.882930        
1.01480        0.883894        
1.03071        0.881094        
1.04326        0.880172        
1.05498        0.880191        
1.06502        0.875498        
1.07758        0.869868        
1.09934        0.867078        
1.11943        0.861459        
1.13283        0.855831        
1.14455        0.853966        
